問題文,正解画像URL,間違い画像URL1,間違い画像URL2,間違い画像URL3
「にっき」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q203_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q203_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q203_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q203_3.png
「おもう」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q204_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q204_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q204_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q204_3.png
「はる」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q205_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q205_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q205_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q205_3.png
「しる」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q206_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q206_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q206_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q206_3.png
「え」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q207_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q207_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q207_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q207_3.png
「ほうがく」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q208_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q208_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q208_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q208_3.png
「かぜ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q301_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q301_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q301_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q301_3.png
「たかい」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q302_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q302_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q302_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q302_3.png
「け」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q303_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q303_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q303_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q303_3.png
「ふとい」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q304_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q304_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q304_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q304_3.png
「くろ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q305_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q305_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q305_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q305_3.png
「きいろ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q306_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q306_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q306_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q306_3.png
「きく」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q307_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q307_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q307_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q307_3.png
「はなす」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q308_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q308_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q308_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q308_3.png
「おなじ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q401_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q401_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q401_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q401_3.png
「ちかい」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q402_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q402_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q402_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q402_3.png
「ながい」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q403_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q403_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q403_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q403_3.png
「からだ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q404_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q404_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q404_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q404_3.png
「かたち」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q405_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q405_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q405_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q405_3.png
「かんがえる」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q406_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q406_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q406_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q406_3.png
「あたらしい」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q407_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q407_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q407_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q407_3.png
「おおい」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q408_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q408_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q408_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q408_3.png
「あね」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q501_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q501_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q501_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q501_3.png
「みせ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q502_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q502_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q502_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q502_3.png
「うち」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q503_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q503_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q503_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q503_3.png
「きる」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q504_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q504_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q504_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q504_3.png
「かたな」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q505_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q505_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q505_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q505_3.png
「かいしゃ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q506_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q506_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q506_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q506_3.png
「あう」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q507_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q507_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q507_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q507_3.png
「いま」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q508_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q508_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q508_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q508_3.png
